时间,新增粉丝数
2022-02-28,21284
2022-02-27,165991
2022-02-26,208990
2022-02-25,531992
2022-02-24,45150
2022-02-23,39874
2022-02-22,20160
2022-02-21,89541
2022-02-20,282039
2022-02-19,69731
2022-02-18,-5840
2022-02-17,-4793
2022-02-16,-16859
2022-02-15,-1608
2022-02-14,258528
2022-02-13,6094
2022-02-12,151647
2022-02-11,296402
2022-02-10,118118
2022-02-09,65853
2022-02-08,125306
2022-02-07,23671
2022-02-06,25016
2022-02-05,79794
2022-02-04,152481
2022-02-03,175053
2022-02-02,-3625
2022-02-01,-9011
