"date","share_amount","file_from"
"On 11 November 2014 ","60600000","0080_ltn20141111597t.pdf.txt"
"","00080","0080_ltn20141104421.pdf.txt"
" as at 31  October 2","4545000003","0080_ltn20141121446.pdf.txt"
